titulo,institución,url_curso,id_curso,reseñas,revisores,fecha_reseñas,valoración
Crash Course on Python,Google,https://www.coursera.org/learn/python-crash-course,python-crash-course,"I can't give this course higher than 1 star until they fix the bugs in the quizzes.For those of you who say ""It works for me, it's a problem in your code"", you may not have enough experience with these types of bugs. For Week 3 Quiz - While Loops, problems 3 & 4:Bug observations: 1) Works intermittently. In problem 3, it kept saying ""No Output"" when running it. I switched from Edge (Chromium) browser to Chrome, and it worked. Same code. Then, I retook the test (still in Chrome), and problem 3 timed out even though it passed previously and the code was the same. 2) Code works fine in an external IDE such as VS Code and PyCharm, but when typed in manually into Coursera, it will time out or say ""No Output"". 3) Problem 4 will keep outputting a progress bar when you run it with messages saying ""Compiling, uploading, going to the moon and back,..."" before finally outputting the correct solution. Then when submitting the quiz, it ""Times Out After 5"" No doubt due to 'going to the Moon and back'.My credentials:I am a professional Software Engineer with over 13 years of experience working at Amazon and Microsoft. I have written production code in Java, C#, and Python among other languages.",By Jonathan L,"Jan 19, 2020",1
Psychological First Aid,Johns Hopkins University,https://www.coursera.org/learn/psychological-first-aid,psychological-first-aid,"Unfortunately, I think this class missed the mark.  Though the explanation of the RAPID model was adequate, I don't think the assessments were consistent with the material (mentioning a topic in a slide is not discussing it).  When taking the assessment, if I get a wrong answer, explain why it's wrong in the review.  Let the assessment continue to be a learning tool - otherwise it's trial and error.  I thought the videos were incredibly outdated and showed little practical application.  The vignettes were probably the most helpful, however I don't feel adequately prepared for deployment.  That is, what does actual deployment look like?  It was stated in one of the last sessions that we should expect 8-15 victims/day - what does that truly look like?  One person in a gym with one client doesn't give me the ""feel.""  I would have liked to see a typical setup for PFA responders, show the chaos vs. organization, the panic vs. calm, the typical vs. atypical.  Lastly, what does it look like when a PFA responder encounters a case s/he cannot/should not handle?  Are there psychologists available?  What does that transition look like - how is that handled?",By Scott R,"Feb 11, 2020",1
Neural Networks and Deep Learning,DeepLearning.AI,https://www.coursera.org/learn/neural-networks-deep-learning,neural-networks-deep-learning,"This is a good course with good explanation but the only problem with this course is that it covers so much information all at once during the entire week and then there is just literally one or two programming assignment at the end. There should be exercise questions after every video to apply those skills taught in theory into programming. I now know general concept of deep learning but I still barely have a clue on how to code those concepts. If I wanted to code all that myself I still wouldn't even know where to start, where to get the data etc etc because the programming assignments were  just, now write this, now write that. Also there should be a help button where mentors should be available because we have tons of questions after learning a new concept. We cant just type all questions in the discussions forum and then then wait till someone replies and then that question gets lost among the pile of other questions. Especially in programming assignments when we get stuck and then dont have a clue what to do now. For $50 a month, the teaching structure is really poor. Even khan academy has a much better educational structure. and its all free too.  I am a college student with a part time job and I am contributing 70% of my earnings towards this course because my future depends on it.",By Mohammad S B H,"Apr 28, 2019",1
What is Data Science?,IBM,https://www.coursera.org/learn/what-is-datascience,what-is-datascience,"Too much introduction. There is no need to spend so much time on it. People that take this course usually understand what is data science. they need to learn real knowledge, not spend the whole week on introduction. ",By Jianfei Z,"Jan 10, 2019",1
Successful Negotiation: Essential Strategies and Skills,University of Michigan,https://www.coursera.org/learn/negotiation-skills,negotiation-skills,"The course was not what I expected. In my opinion there is no academic foundation but most likely evolved science. There have been times that was eager to finish the video. The bibliography was poor and the lecture slides very bad. Also, the whole subject of the course is the professor's book, word for word, so that means in case you buy the book, you have the hole course, but not the certificate.The least I can say, is that this act is unprofessional, anti-ideological, and it does not take the course in another level with more knowledge.",By Theodoros E,"Nov 10, 2018",1
Fundamentals of Project Planning and Management,University of Virginia,https://www.coursera.org/learn/uva-darden-project-management,uva-darden-project-management,"The course itself probably is good, although it wasn't interesting to me. I've asked to leave, to un-enroll from the course, but the Coursera system wasn't clear enough to show I was out from the course. Against my will, I was charged after the 7 days trial what upsets me a lot. The Coursera engine is not user-friendly at all.  ",By Luis E d S,"Sep 30, 2020",1
Project Launch,"University of California, Irvine",https://www.coursera.org/learn/project-management,project-management,"Content is broken. Links don't work. Content is duplicated. Quiz questions have the answers in them. Language is inconsistent. Videos that are supposed to be included instead tell you that they're ""been removed due to copyright violations."" Some videos aren't available outside the US. etc. etc. etc. etc. etc.The course is essentially a failed project.",By Jason L,"Sep 11, 2018",1
"Brand Management: Aligning Business, Brand and Behaviour",London Business School,https://www.coursera.org/learn/brand,brand,"I was eager to study a course from coursera..But i can't take it..Lecture is good,but the peers review is not good and not upto standard..I have taken many course from other digital platforms and enjoyed a lot..I will surely never take any course from coursera..",By Jeny J,"May 09, 2020",1
Writing in the Sciences,Stanford University,https://www.coursera.org/learn/sciwrite,sciwrite,"The certificate has a bad quality. ""Standford"" sign just like a copy-paste name from the web. Not good",By M R P,"May 25, 2020",1
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,"Hi,I was looking for a good introduction course to food and nutrition and, alas, this is not it.I knew 90% of the things discussed in this course, and I was expecting more, but all I got was very basic advices (""eat less"", ""don't eat crap"", etc.), all with videoclips and music which got annoying really quick.Disappointing.Take care.",By Massimo P,"Jan 21, 2016",1
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,https://www.coursera.org/learn/html-css-javascript-for-web-developers,html-css-javascript-for-web-developers,"If you don't want to actually learn what anything means and just get walked through steps on how to do things then take this course. But if you're a beginner to HTML, CSS, and Java Script, this isn't for you. He doesn't actually TEACH you anything, he just takes you through the process. They haven't updated the course content to actually match what is on GitHub's page, so from the start you have to go into the FAQs to figure out where to go from there. It's really frustrating because he will just skip steps, and because he doesn't explain WHY he's doing something, if you miss a step, you get completely lost. I've taken a few coursera courses, and this was the most frustrating course I have taken. ",By Christina R,"Mar 18, 2017",1
Excel Skills for Business: Essentials,Macquarie University,https://www.coursera.org/learn/excel-essentials,excel-essentials,Excel you can learn through practiceYou cant just study excel by doing some excise in the worksheet provided by the tutorWhen you really stuck for excel in office please search that doubt in google and find outdont waste time by doing this kind of course in excelthe course is too long and boringplease dont opt for this course if you wants to save your time...............Course content really good...........,By PRAISE T,"Apr 28, 2020",1
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,https://www.coursera.org/learn/negotiation,negotiation,"Left after two videos. Incredibly difficult to understand. Felt like I was on a high school geometry class. Negotiating should be simple, not difficult.",By Audrey C,"Dec 15, 2017",1
"Everyday Excel, Part 1",University of Colorado Boulder,https://www.coursera.org/learn/everyday-excel-part-1,everyday-excel-part-1,"No point enrolling if you don't want to pay for the certificate. I understand that the assignments or extra materials are for those who pay, but with this course, there is no point even starting without paying - as all the material, including praticing material that the tutor works with are not accessable. Just waste of time - trying to figure out if it's worth something. It would be fair to just say that at the beginnig.The course (at least the beginning) is really super basic and anyone who ever opend excel can skip at least week 1. For that reason I didn't want to pay, I wanted to see how it is, if I can learn something new - maybe later on. Well, I will never find out and I'm going to watch Excel is fun instead. ",By Petra M,"Apr 27, 2020",1
Learning How to Learn: Powerful mental tools to help you master tough subjects,University of California San Diego,https://www.coursera.org/learn/learning-how-to-learn,learning-how-to-learn,"this course states tons of info that is obvious. I mean tons. at one point the instructor says if there is a class review before a test it would be a good idea to attend. At another point her colleague says you can get a lot of intellectual stimulation by having smart peers to talk to. They also say your brain will work better if you exercise and get a good night's sleep. Are you serious? This is your advice? Could this be any more obvious? The course is filled with obvious statements like this making it much longer than it needs to be. Seriously, it could be cut in half if not by two thirds. They also tell you the names of different chemicals in your brain. How this helps you learn better I don't know. There are a few good pieces of advice here and there. It's a shame you have to listen to so many lectures to hear them. They could have cut out the obvious stuff and got to the point much quicker.",By Patrick M,"Aug 20, 2017",1
Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,https://www.coursera.org/learn/gcp-fundamentals,gcp-fundamentals,"Do you like looking at
loading screens? Do you like mindlessly copying commands from one window to
another without any decision making? Do you like listening to google product advertisements?
GREAT! Then this course is for you. Bonus points if you like to listen to
soulless drones reading scripts.PS:
This course is easy is you can copy and paste. But you will not really learn!",By Sebastian R,"Oct 19, 2019",1
Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,https://www.coursera.org/learn/wharton-contagious-viral-marketing,wharton-contagious-viral-marketing,"I really wanted to love this course. The video content offers a few tiny pearls of wisdom, but I gather that you could just read the book called Contagion and get exactly the same content without spending $100. Apprehensive about other Coursera offerings now. ",By Madison R,"Dec 13, 2017",1
Python Data Structures,University of Michigan,https://www.coursera.org/learn/python-data,python-data,"Instructor, Dr. Chuck, is terrific.  However, assignments are incredibly difficult.  You are supposed to spend no matter than a few hours a week on the course.  I spent over 100 hours alone on the assignments.  The mentors that are supposed to help you did not help at all.  Very poorly put together second module that does not prepare you to complete the assignments",By Frederik J E,"Jan 24, 2017",1
Private Equity and Venture Capital,Università Bocconi,https://www.coursera.org/learn/private-equity,private-equity,Too simple to be realistic,By Charles Z,"May 30, 2016",1
First Step Korean,Yonsei University,https://www.coursera.org/learn/learn-korean,learn-korean,"too fast paced, not suited for absolute beginners. first week takes alone about 3 weeks to complete and master",By Karen J,"Sep 05, 2016",1
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",DeepLearning.AI,https://www.coursera.org/learn/introduction-tensorflow,introduction-tensorflow,"Far too basic - almost nothing about Tensorflow - graphs, tensors, estimators, tf.data, etc. The course is a bunch of pre-built examples using the Keras APIs to hit run on in Google collab. This is a very gentle introduction to Keras APIs, with no discussion of what's actually happening with Tensorflow.",By Charles,"Apr 28, 2019",1
Operating Systems and You: Becoming a Power User,Google,https://www.coursera.org/learn/os-power-user,os-power-user,"Unfortunately I have to rate this course rather low due to the nature of the labs. The information and the instructor were great and deserve a 5 star rating. Cindy was very well spoken and knowledgable about the topics that were covered. I'm not sure who has a stake in Qwiklabs (if anyone at all), but the labs that you are required to take as part of the quizzes for this particular course are just flat out poorly implemented. To begin with, for several weeks I was unable to participate in the labs - often having to wait 24-72 hours just to get in at all. I was continually getting the ""Due to overwhelming response"" error. There was no possible way that all of the labs were ""full"" constantly around the clock for days on end. This error persisted for around 2 weeks. I am paying $50 a month for this service, and to me, this error is unacceptable. Then there was the issue of labs not recognizing the tasks that were completed. For some of the labs the ""fix"" to this issue was waiting up to 30 minutes just to begin them to ensure the VM instance was fully loaded. This is another unacceptable error for a service I'm paying a lot of money for. The idea and the concept of the labs running through a VM instance is brilliant, but the implementation of these labs through the Qwiklabs portal was without a doubt a fumble on somebody's part, and quite frankly based on this one course alone I could not recommend anyone to sign up for the Google IT certificate unless the Qwiklabs issues would be rectified. ",By Brandon M,"Mar 27, 2018",1
Tools for Data Science,IBM,https://www.coursera.org/learn/open-source-tools-for-data-science,open-source-tools-for-data-science,I am amazed that IBM even put this course out on Coursera. It is the worst course I have come across. It is a humongous waste of time. It supposedly introduces the IBM Watson Studio but ALL the videos are outdated and do not reflect the platform currently on IBM's website. It is impossible to follow the instructions. You just have to sign up to the platform and hobble along trying to make sense of it. The quizzes were a utter waste of time. They don't even reflect the content in the videos. Many of the questions had topics that were not even covered. I was unable to do the final assignment because it's impossible to get to the Jupyter notebooks page when you sign in. It was an incredibly frustrating experience. I wasn't alone - the discussion forums are filled with hundreds of comments on the same issue - not being able to find the webpage where they need to create a notebook and do the assignment. I did not see any of the moderators even bothering to reply. Why have you put this course out here if you have no interest in providing quality content or help when your content is utterly outdated. I question IBM's reputation. This is a shambles of a course that I actually paid for (still paying since they changed it to a monthly debit!). I am in two minds whether to even continue with this certificate - seems ,By Shaili P,"Feb 26, 2019",1
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",DeepLearning.AI,https://www.coursera.org/learn/deep-neural-network,deep-neural-network,"Walking away from this course, I do *not* feel adequately prepared to implement (end-to-end) everything that I've learned. I felt this way after the first course of this series, but even more so now. Yes, I understand the material, but the programming assignments really don't amount to more than ""filling in the blanks""--that doesn't really test whether or not I've mastered the material. I understand that this is terribly hard to accomplish through a MOOC, and having taught university-level courses myself, I understand how much effort is involved in doing so in the ""real world"". In either case, if I'm paying for a course, I expect to have a solid grasp on the material after completing the material, and though you've clearly put effort into assembling the programming exercises, they don't really gauge this on any level. Perhaps it would be worth considering a higher cost of the course in order to justify the level of effort required to put together assessments that genuinely put the student through their paces in order to assure that a ""100%"" mark genuinely reflects both to you and the learner that they have truly internalized and mastered the material. It seems to me that this would pay off dividends not only for the learner, but also for the you as the entity offering such a certificate.",By Brennon B,"Apr 23, 2018",1
Diversity and inclusion in the workplace,ESSEC Business School,https://www.coursera.org/learn/diversity-inclusion-workplace,diversity-inclusion-workplace,"I thought this course was uninteresting, hard to understand in some of its language & with the way that it explained some things as well as when it came to directions and what was expected of you for certain assignments particularly essays. Parts of the course lacked direction and one could argue that some of the material was heavily biased. I would also like to say that many of the articles and videos outside Coursera that we were asked to read and watch were either no longer active or hidden behind a pay wall which made it hard to complete some assignments and understand certain parts of the course. Most of the videos were long, rambling, and hard to follow. A lot of the language and ideas/laws discussed seemed largely geared toward certain European countries or Europe as a whole and didn't really apply much to the United States. Certain parts of the course would say that they were optional or that participation in that section was optional but if you had not completed that exercise you would not be able to finish other assignments later down the line which could get kind of confusing, if something is ""optional"" you should not have to participate in it in order to complete the course.",By Daniel W,"Dec 02, 2019",1
Design and Interpretation of Clinical Trials,Johns Hopkins University,https://www.coursera.org/learn/clinical-trials,clinical-trials,"It is hard to describe what I didn't like about this course. I have a reasonable statistical background as well as a basic science and public health background, so I may be overly familiar with the material. I  didn't find that going through the material helped me beyond what I could intuit from the basic principles of how to do a study. This isn't good, because I feel like someone without my background would be overwhelmed by the information presented and not be able to follow it. I also believe the lecture style was too conversational and not very organized. It feels like a little bit too much like the introduction to a journal club with 3rd year graduate students. The course should be for novices. Ultimately, everything felt like it was being described rather than taught.  One positive I can say, is that I think the basic contents of the course are good, they just need to be organized properly and distilled down and focused. Instructors should resist any urge to randomly jump into discussions which are above the intended level of the course. ",By Kevin S,"Jun 17, 2019",2
Visual Elements of User Interface Design,California Institute of the Arts,https://www.coursera.org/learn/visual-elements-user-interface-design,visual-elements-user-interface-design,"Peer reviews is the worst.  That is the worst idea, how can you allow someone that has no skill decide the outcome of someone else's grade?",By  B D ,"Mar 04, 2019",1
Management of Fashion and Luxury Companies,Università Bocconi,https://www.coursera.org/learn/mafash,mafash,"I'm actually REALLY INTERESTED on this course, but Erica's accent is TERRIBLE. It's so hard to understand and focus on what she's saying. Had to quit the course because of that.",By Camila T,"Jan 24, 2017",1
Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,https://www.coursera.org/learn/pap,pap,"el curso es bueno sin dudas ^, pero como van a poner esto en el certificado , me parece que le quita validez al curso como usuario¨curso en línea SIN  CREDITO AUTORIZADO  por Universitat Autònoma de Barcelona y
ofrecido a través de Coursera :  mi pregunta entonces es para que figura la universidd de Barcelona si no tiene creditos autorizados ,???? lquefigure eso en el cerfiicado quita valor al estudiante para presentar este curso como valido en cualquier ente tanto publico como privado ",By Martin P,"Aug 19, 2019",1
Social Psychology,Wesleyan University,https://www.coursera.org/learn/social-psychology,social-psychology,"Unfortunately this course isn't what I expected it to be. First off, there's too much pressure to join Social Psychology Network for a fee. You're constantly reminded of how much better the assignment would be better if you tried it on the network and you'd gain a lot more from the course by joining on there and utilizing the resources available on that website. Secondly, I did think there was way too much emphasis on research methods and findings. Albeit I have only completed 2 weeks of the course, perhaps my comments are a bit premature. Nevertheless, I believe the course description ought to be revised, as there's more emphasis on various researches throughout history and the methods of those researches, as opposed to understanding ""why we do  what we do"" as stated in the course description. ",By Fahed M A,"Apr 11, 2020",1
Initiating and Planning Projects,"University of California, Irvine",https://www.coursera.org/learn/project-planning,project-planning,"This is purely subjective, but I could not keep myself awake and sustain interest long enough to finish the one section I paid for. I guess I should have tried one for free first...I tried to tell the Coursera staff to remove the course from my list and that I did not need my refund, but sadly, it sits on my 'enrolled courses' list, perhaps permanently until I cancel my account. Luckily, I did figure out how to turn off the almost twice daily notifications.",By Naomi M,"Jan 30, 2016",1
Computational Thinking for Problem Solving,University of Pennsylvania,https://www.coursera.org/learn/computational-thinking-problem-solving,computational-thinking-problem-solving,The most frustrating learning experience I have ever had. I should not have to google for 70% of what should be taught in the lessons. Quizzes and exercises use material not covered in the lectures. ,By Jared A,"May 10, 2019",1
Agile with Atlassian Jira,Atlassian,https://www.coursera.org/learn/agile-atlassian-jira,agile-atlassian-jira,"The title of the course is wrong - it should be: how to endlessly configure Jira. Jira looks to me like an epic issue now :-) ... and a waste. Preventing waste is the major item in lean environments. This Jira is from my point of view is an over engineered piece of software, and contradicts the principles of agile (keep it simple). So this course all in all is misleading. I am happy that I didn't spend 45 Dollars to get a certificate - what for? That I was able to configure a software? No way! wtf ...",By Sven V N,"Jan 22, 2020",1
Fundamentals of Graphic Design,California Institute of the Arts,https://www.coursera.org/learn/fundamentals-of-graphic-design,fundamentals-of-graphic-design,"I was led to believe that I would be learning the fundamentals of graphic design, which to me means learning how to use Photoshop, InDesign, etc. This is more about learning how to create art in general, not exactly what I'm looking for. ",By Sunny D,"Oct 15, 2015",1
Introduction to User Experience Design,Georgia Institute of Technology,https://www.coursera.org/learn/user-experience-design,user-experience-design,"This was really underwhelming. It's very clinical and it's hard to stay engaged watching so many videos of just one person talking. For a course about User Experience taught by a person with a background in psychology, the course design is a joke and very user-unfriendly. There are no practical elements to this course. Any UX person should know that they should offer opportunities for self-discovery of material via hands-on tasks. The quizzes pretty much just ask you to regurgitate material via rote learning. I put up with it for a while but I got to Week 3 and got too bored.  I have no idea why this course has such high ratings. ",By Catherine M,"Aug 22, 2019",1
Introduction to Marketing,University of Pennsylvania,https://www.coursera.org/learn/wharton-marketing,wharton-marketing,"This course on Marketing is a marketing disaster for WhartonOnline. This course made me understand atleast one thing in great clarity, that I should not waste money on Wharton courses. The amount of effort put into the course material, into the organization and flow of material (or lack thereof), and into the quality of videos and content delivery, would sum up right about to Zero. Needless to say, this review is going to be highly critical, since I expected some value and quality from a school like Wharton. Should you pay $95 for this course. I think they should pay you for wasting your time. The course tries to teach the importance of branding, and customer centricity, and personifies how not to do it.Here are some specific complaints I have with the course, in no particular order. You might not agree with all of them, and some might seem insignificant, but in any case, here they are :1. Platform : The entire course is just a series of videos, and plenty of them are over 15 minutes long. It's hard to imagine that students would be able to keep their attention, and grasp new and/or tough concepts with such an approach. A combination of text, figures, videos, and interactive exercises would have made it much easier to grasp the material2. Videos : High school kids can make multimedia of better quality. Videos consist of someone talking for several minutes, with occasional inclusion of presentation slides. Slides are no help either. It seems material is copied out of a text book, then pasted into a slide, and then integrated into a video. And then professor spends a few minutes reading out the text of the slides. The diagrams are lifeless, asymmetrical and does not help advance the understanding.3. Structure : The order in which videos are presented doesn't make sense. There is no structure to the material which would help you understand the concepts in a logical and progressive manner. Sometimes, the heading of the video does not even seem to match with the content. It feels all videos were filmed in an ad hoc fashion and then just put together in a random order.4. Discussion Forum is not a great help either. You would want to see more activity and brainstorming there, considering so many students take this course. But, there is no incentive for the students to share ideas and contribute, since passing the course does not depend on discussion forums. When ""Mentors"" reply to some answers, those answers seemed to be pasted out of a text book.   5. Quiz : In its current structure, there is no point of having a quiz at the end of the week. The goal should be assimilating or internalizing the material and concepts, not just pass the quiz. The course allows you to retake a quiz upto 3 times a week, so you don't really need to go through the videos at all. They don't check if you went through all the videos before taking the quiz. And they don't give you answers and explanation after the quiz is done, since then the students would always score 100% on the second try. If I can not even understand where my understanding lacks and fix it, why am I taking this quiz. 8. Final Exam : You can find answers to most questions by just searching the key phrase in the course material.  And they help you in doing that by telling you which Professor's videos you need to search. They don't test you on concepts, they test you whether you can remember what the Professor X meant when he/she made a statement Y. 9. Content Delivery: I found second week to be the best in terms of content delivery, but the rest of the weeks were more or less lacking. The examples or analogies given did not always match the concept introduced. If you read the transcript of the videos, the sentences spoken would not even make much sense. Many times, you can find the professor glancing down, as if looking at the laptop screen besides her, to read out the slides. The professor comes out as nervous and fidgety, which is very distracting, to say the least. If you are still reading this review, I hope you would spend your $95 on a subscription to a business magazine, or may be just on some good food. This course is definitely not worth it, and it 'll cost you more in your precious time.",By aseem b,"Aug 08, 2016",1
Python for Data Science and AI,IBM,https://www.coursera.org/learn/python-for-applied-data-science-ai,python-for-applied-data-science-ai,"Course focuses more on forcing you to sign up for various IBM cloud tools than learning python.  The final assignment has a 300+ reply thread in the discussion forum because you are graded on the ability to integrate your IBM Watson Notebook with IBM cloud storage, but the instructions have multiple errors, such as not working if you provision your storage in the wrong region.This class is a shameless excuse for making you sign up for products you don't want, and then grading you on your ability to use them, not your ability to write python code.",By David J,"Apr 20, 2019",1
