titulo,resumen,n_inscritos,tipo_curso,institución,instructores,nivel,tema,idioma,subtítulos,esfuerzo_curso,duración_curso,precio,descripción_curso,temario_curso,url_curso
Creating Innovative Business Models,"Build your capabilities to create a value proposition, team strategy, market strategy, and financial strategy to transform your ideas into a startup company or innovative corporate venture",12227,Self-paced on your time,"University System of Maryland-The University of Maryland, College Park",James Green,Introductory,Business & Management,English,English,2–3 hours per week,4 Weeks,149,"This course was created to guide aspiring and active startup entrepreneurs and corporate innovators that feel...It’s common to desire...This course will help you to...The course provides an innovative model to create the value proposition, team strategy, market strategy, and financial strategy to:With these skills, you will be equipped to lead customer discovery and customer validation, understand business strategy and customer segmentation, create innovative products, enter new markets, design revenue models with predictable revenue stream, and achieve a sustainable competitive advantage.","Module 1: Value PropositionA value proposition describes the benefits customers can expect from your product or service. You must understand and validate the set of customer needs and wants before launching the venture. Before assuming that these needs and wants are true, it’s important to validate that they do indeed exist. To understand value propositions, we’ll examine how to define the problem, understand competition, and achieve product-market fit.Module 2: Team StrategyBuilding your startup team is one of the most important activities that you will engage in as a startup entrepreneur or corporate innovator. We’ll discuss how to identify and engage the founding team.Advisers can also assist in reaching your goals quicker, and achieving more sooner. We’ll discuss how to establish adviser relationship, and how to leverage their skills and relationships.Beyond founders and advisers, partners are often a fundamental element of the team equation. We will explore how to establish and manage partnerships. We’ll also discuss how outsourcing can improve your success.Module 3: Market StrategyMarketing may be basically defined as “putting the right product in the right place, at the right price, at the right time”. While simple in concept, significant research, analysis, and planning is required to develop and implement the strategy.In this segment, we will introduce the Four Ps (product, price, placement, and promotion), the history and purpose of the marketing mix concept and terminology, key features of the marketing mix, and how to develop the marketing mix.Module 4: Financial StrategyIn the final segment of the course, we’ll explore the financial strategy with attention to the revenue model, cost model, sales model, and funding model. We will discuss developing your revenue model, types of revenue streams, ways to generate revenue streams, selling strategies, and the pros and cons of various funding mechanisms.",https://www.edx.org/course/creating-innovative-business-models
u.lab: Leading From the Emerging Future,"An introduction to leading profound social, environmental and personal transformation.",79424,Self-paced on your time,Massachusetts Institute of Technology,Otto Scharmer-Dayna Cunningham-Kelvy Bird-Arawana Hayashi,Introductory,Business & Management,English,"English, Español, Français, עברית, Indonesian, Italiano, 日本語, Português, Türkçe",4–6 hours per week,14 Weeks,99,"In the past year, we have witnessed unprecedented disruption. Climate strikes, the COVID-19 pandemic and global protests against racial injustice all point to a pressing need for societal renewal. To catalyze this renewal we need to learn not from the past, but from a future wanting to be born. How to activate our capacity to lean into the emerging future may well be the most important leadership challenge of our time. How do you cultivate curiosity, compassion and courage in the face of prejudice, anger and fear? How do you step into action for the well-being of all?This course is an introduction to a method called Theory U, developed at MIT, for leading such change in business, government, and civil society contexts worldwide. u.lab will guide you in applying Theory U to an issue that matters to you, building your capacity to lead transformative change in the process. You will do so with fellow change makers locally and around the world. Join us as we co-pioneer new approaches to today’s most important social and environmental challenges.----NOTE: Translations are not available for all videos and/or in all languages. We hope to have more complete translations in the future, and we are looking for volunteers to help with this task. Please contact Sarina atbouwhuis@presencing.com if you are willing to volunteer.","The Orientation Module will be made available on September 1st. All other Modules will be made available on September 8th. While you can complete the course at your own pace, the instructors will facilitate Live Sessions on a monthly basis -- as indicated below.Orientation Module:In this Introduction to u.lab, you will learn how to use and navigate the social and community elements of the course, and you will find some guidelines to get familiar with the edX platform.Module 1: Co-Initiating This module is the actual start of the course, and it consists of an introduction to the deeper sources of our current global challenges. You will learn about the art and practice of deep listening, and set your intention for the journey ahead. There will be a Live Session on September 24th that corresponds to Module 1.Module 2: Co-SensingTo sense into your current context, in this module you will learn how to gather data by suspending and listening through practices such as learning journeys and stakeholder interviews. The second half of this module will teach you how to make sense of the data you generate using Social Presencing Theater.Module 3: PresencingAt the bottom of the U, you will be guided to retreat and reflect, allowing deeper sources of knowledge to emerge by connecting with a future possibility that is in need of us. There will be a Live Session on October 22nd that corresponds to Module 3.Module 4: Co-CreatingTo move upwards after the profound phase of Presencing, in this module you will learn how to stay connected to your deeper sources of inspiration and pay attention in a way that will enable you to move from idea to action -- learning by doing. This module also describes practices to engage in prototyping activities to generate feedback that will help you evolve your inspiration / idea. In a nutshell, this module contains principles to support the evolution from an idea, to a prototype, to an initiative with the potential to scale.Module 5: Co-EvolvingWe all know about many episodes and stories of great transformational change and breakthrough. But at the end of the day they remain merely that: episodes. Sooner or later the larger system snaps back into the old way of operating. Unless the deeper root issues are addressed, transformational episodes may lack the conditions to spread across the remaining system. How to attend to these root issues while prototyping is the question we will explore in this Module. There will be a Live Session on November 19th that corresponds to Module 5.Module 6: The Journey AheadWhat is emerging globally from u.lab 1x and what is needed to carry momentum forward? What are the next steps in the u.lab journey? There will be a final Live Session on December 10th addressing these questions.",https://www.edx.org/course/ulab-leading-from-the-emerging-future
Marketing Analytics,Develop quantitative models that leverage business data to forecast sales and support important marketing decisions.,55228,Instructor-led on a course schedule,Columbia University,Kamel Jedidi-Asim Ansari,Advanced,Business & Management,English,English,8–10 hours per week,12 Weeks,249,"Marketers want to understand and forecast how customers purchase products and services and how they respond to marketing initiatives.Learn how analytics help businesses drive marketing to maximize its effectiveness and optimize return on investment (ROI).In this course, part of the Business Analytics MicroMasters program, discover how to develop quantitative models that leverage business data, statistical computation, and machine learning to forecast sales and marketing impact for:You will learn how to use probabilistic models and optimization tools to model customer demand forecasts, pricing sensitivity, Lifetime Value and how to leverage such data to make optimal decisions on designing new products, marketing segmentation and strategy.Skills acquired after the course:",Week 1: Introduction to Marketing Analytics and Customer AnalysisWeek 2: Market SegmentationWeek 3: Preference measurementWeek 4: Consumer Choice ModelsWeek 5: Customer Lifetime ValueWeek 6: New Product DecisionsWeek 7: New Product DecisionsWeek 8: New Product DecisionsWeek 9: Pricing Analytics and OptimizationWeek 10: Pricing Analytics and OptimizationWeek 11: AdvertisingWeek 12: Sales Promotions and Course Review,https://www.edx.org/course/marketing-analytics
Basic Spanish 3: Getting there,"Beginners course for learners of Spanish that focuses not only on language but also on cultural aspects, specifically designed for English speakers.",17569,Self-paced on your time,Universitat Politècnica de Valencia,Prof. Ana Gimeno-Cristina Navarro,Introductory,Language,English,"English, Español",3–4 hours per week,4 Weeks,50,"¡Bienvenidos y bienvenidas! (Welcome!)In this Spanish course, you will learn basic vocabulary to talk about yourself and your everyday life, in the present, in the future and in the past, in simple and brief communication situations. You will learn expressions of time, how to express things that will happen in the future, vocabulary related to the shopping list, how to express an opinion, talking about your health, and about experiences and activities that happened in the past. At the end of the course you will be able to communicate in everyday situations according to the A2 proficiency level (elementary) as described in the Common European Framework of Reference for Languages ​​(CEFRL, Council of Europe). The course, which is designed for English speakers, offers a variety of exercises after going through the stages of content presentation, comprehension and production. You have videos, small texts and audios to improve your pronunciation, glossaries, activities for oral practice with other course students, quizzes, grammar cards and recommendations on external Internet resources to continue learning more and more Spanish. The topics on which the activities revolve are work life, family life, city life and outdoor life. As you can see, a bit of everything to be able talk about yourself and to engage in everyday communication. We hope you like our menu. ¡Buen provecho! (Bon appétit!)Basic vocabulary to be able to use and understand information related to:Basic grammatical structures such as articles and nouns, adjectives, present, future and past tenses of regular and irregular verbs.","Unit 1: Mañana voy a empezar a estudiar españolThis Unit includes practice in expressing actions that will take place in the future, describing every day chores, formulating questions, and learning to use time expressions.Unit 2: ¿Qué tal tu día?This Unit includes practice in describing our daily lives, asking questions about others, expressing preferences, and saying whether or not we liked something.Unit 3: ¿Qué haces mañana?This Unit includes practice in describing how we feel, parts of the body, speaking on the phone, inviting someone to do something, and arranging to meet someone.Unit 4: ¿Dónde pasaste las vacaciones?This Unit includes practice in using the past indefinite verb tense, describing what we did the previous day, describing how we spent the weekend, talking about our friends and explaining what they did, and talking about the holidays.",https://www.edx.org/course/basic-spanish-3-getting-there
Mi propia huerta orgánica,"Este curso está realizado por profesionales para todas aquellas personas que tienen ganas de tener una huerta orgánica, que consideran que es muy importante el cultivo, sus propias hortalizas, plantas aromáticas, frutales, beneficiosos para el cuidado de su salud y la economía familiar.",11346,Self-paced on your time,Universidad Nacional de Córdoba,Patricia Gil-Paola Campitelli-Laura Vargas-Leandro Carbelo,Introductory,Biology & Life Sciences,Español,Español,1–2 hours per week,4 Weeks,29,"En el curso Mi propia huerta aprenderemos a aprovechar mejor el agua, evitar inundaciones, amortiguar el impacto de las altas temperaturas y construir un refugio natural para la flora y fauna autóctonas.A través de la producción de alimentos agroecológicos en nuestra casa podemos ser responsables del sustento propio.Este curso está organizado en tres módulos: se exponen ideas básicas sobre las características de las huertas, lo que se puede sembrar, de los sustratos, y las herramientas con las que se debe trabajar.Conceptos básicos sobre herramientas, suelos, riego, plantas.Una huerta es cualquier espacio, área, lugar, al que vamos a destinar para el cultivo de diferentes plantas, hortalizas, que son las típicas que se cultivan en una huerta, aromáticas, algunas medicinales que vamos a dedicar al consumo personal y que vamos a empezar a caracterizar dependiendo de los usos a los que se las va a destinar.Lo interesante es que todas estas plantas que se cultivan en la huerta, son plantas que tienen raíces, tallos y hojas, y de éstas diferentes plantas vamos aprovechar nutrientes que nos ofrecen para alimentarnos, y de a poco vamos a ir aprendiendo que esas partes también nos sirven para multiplicar a las especies de estacas, como por ejemplo en el romero. De a poco, capítulo a capítulo, en este curso vamos a ir tratando de desarrollar técnicas básicas para que todos podamos tener nuestra huerta, ya sea en un balcón, en una maceta o en cualquier área que destinemos a tal fin.El curso Mi propia huerta aprenderemos a aprovechar mejor el agua, evitar inundaciones, amortiguar el impacto de las altas temperaturas y construir un refugio natural para la flora y fauna autóctonas.A través de la producción de alimentos agroecológicos en nuestra casa podemos ser responsables del sustento propio.¡Sólo es cuestión de animarse y comenzar!","IntroducciónMódulo 1 : La huerta en casa. Calendarios de siembra. Herramientas. Compostaje en casa.Módulo 2 : Sustratos varios y reproducción de plantas, métodos, siembra en la huerta.Módulo 3 : Multiplicación asexual de plantas mediante tallos y raíces.",https://www.edx.org/course/mi-propia-huerta-organica
Sustainability in Architecture: An Interdisciplinary Introduction,This course introduces the basic elements and trendsthat define sustainability practices in Architecture today. Itfollows an interdisciplinary approach that includes performance assessment and urban policies.,31352,Self-paced on your time,Universitat Politècnica de Valencia,María Valles-Planells-Elena de la Poza-Plaza-Naoko Ellis-Kas Hemmes,Intermediate,Architecture,English,English,3–4 hours per week,4 Weeks,50,"This course offers an interdisciplinary approach to sustainabilityin Architecture. Learners will be introducedto the basic elements of sustainability assessments (first model layer), as well as trends informing the space today. The coursework enables students to develop a conceptual neighborhood model for assessing performance and urban policies. In the first week,participants willlearn todevelop a conceptual model from the architectural elements of buildings; the basic building blockof which will be theperformance of materials. The second weekexploresmethods of optimizing performance. Coursework willdetail the needs and constraints inherent in selecting materials and neighborhood urban elements (the second model layer for green, blue and grey infrastructure). In the third week, learners will developthe basic tools for introducing energy and measuring the potential impact on climate change (CO2). A new layer (third) on our neighborhood stainability model, this will be approached from a global perspective. In the fourth and finalweek, the course will explore techniques for a joint assessment directly connected to policy issues.","Week 1: Materials relevance in buildings
Week 2: Buildings, performance, functions,and materials
Week 3: Efficiency, sustainability,and architecture
Week 4: Integrated design and Business Models",https://www.edx.org/course/sustainability-in-architecture-an-interdisciplinar
The Science and Business of Biotechnology,"Explore the latest scientific innovations in biotechnology, and novel business and financing models for commercializing them.",17039,Self-paced on your time,Massachusetts Institute of Technology,Andrew W. Lo-Harvey F. Lodish-Zied Ben Chaouch,Intermediate,Business & Management,English,English,10–12 hours per week,16 Weeks,49,"This course focuses on early-stage biotechnology companies, with particular emphasis on understanding the underlying science, technology, and disease targets—together with the application of novel business structures and financing methods—to facilitate drug discovery, clinical development, and greater patient access to new therapies.Current research is enhancing our understanding of the genetic, molecular, and cellular bases of many human diseases, and is leading to many new types of biotherapeutics that we will cover in this course, including recombinant therapeutic proteins; monoclonal antibodies and antibody drug conjugates; cancer immunotherapies, replacement cells and genetically engineered cells; and nucleic acid and gene therapies. Translating these discoveries into drugs and diagnostics increasingly requires the establishment of for-profit companies, but funding for early-stage development of novel therapies is becoming scarcer, especially for therapeutics for “rare” diseases that affect small populations. The dearth of funding for early-stage biotherapeutics companies in the so-called “Valley of Death” can be attributed to several factors, but a common thread is increasing financial risks in the biopharma industry and greater uncertainty surrounding the scientific, medical, economic, political, and academic environments within the biomedical ecosystem. Increasing risk and uncertainty inevitably leads to an outflow of capital as investors and other stakeholders seek more attractive opportunities in other industries.By applying financial techniques such as portfolio theory, securitization, and derivative securities to biomedical contexts, more efficient business and funding structures can be developed to reduce financial risks, lower the cost of capital, and bring more life-saving therapies to patients faster. Thus this course will also cover basic financial analysis for the life-sciences professional; the historical financial risks and returns of the biotech and pharmaceutical industries; the evaluation of the science and business potential as well as the mechanics of financing biotech startups; capital budgeting for biopharmaceutical companies; and applications of financial engineering in drug royalty investment companies, biomedical megafunds, drug approval swaps, and life sciences investment banking.","* Week 0:** Intro to the Science of Biotech and Healthcare Finance* Week 2:** AAV Vectors & In Vivo Gene Therapy; Capital Budgeting* Week 3:** Ex Vivo Gene Therapy; Stocks and Bonds* Week 4:** Nucleic Acid Therapies; The CAPM & Diversification* Week 5:** Gene Editing; Options* Week 6:** Clinical Trials* Week 8:** Monoclonal Antibodies; Securitization* Week 9:** Cancer Immunotherapeutic; Healthcare Analytics* Week 10:** New Cell Therapies; Pricing, Value & Ethics",https://www.edx.org/course/the-science-and-business-of-biotechnology
'Talk to me': Improving mental health and suicide prevention in young adults,"As a student, parent, teacher, coach, or health professional, learn strategies to help improve the mental health of young people in your life, recognise concerning behaviours, and feel better prepared to have conversations about mental health.",11481,Self-paced on your time,Curtin University,Ben Milbourn-Craig Thompson-Viktor Kacic-Sonya Girdler,Introductory,Health & Safety,English,English,2–3 hours per week,6 Weeks,139,"Poor mental health affects one in four people, and young adults are particularly susceptible. Do you feel confident approaching the topic of mental health with people you care about, or are concerned about?'Talk to Me': Improving mental health and suicide prevention in young adults , is a German-Australian collaboration developed in response to the growing need to provide young people and those around them with the knowledge, skills, and understanding to recognise, identify, and respond to mental health challenges in themselves and others.Key topics in this MOOC include understanding contributing factors to poor mental health, how to talk about addressing poor mental health, and strategies to increase mental fitness.Please note: This course contains content that crosses over with TTM2x: Managing Study, Stress, and Mental Health at University (Modules 1 and 2). However, this MOOC contains an extra four modules of content which are aimed at parents, teachers, health professionals, GPs, social workers, counsellors, coaches, and other 'gatekeepers' - people in positions of responsibility with regular contact with young people.We are grateful to the following organisations for their contribution to and continued support of this MOOC:",Module 1: Mental fitnessModule 2: Strategies to increase mental fitnessModule 3: Non-suicidal self-injury (NSSI)Module 4: Suicidal behaviour in young adults (SBYA)Module 5: Interventions in SBYAModule 6: Gatekeeper interventions,https://www.edx.org/course/talk-to-me-improving-mental-health
Disaster Medicine Training,Welcome to Disaster Medicine Training. ,10937,Self-paced on your time,Stanford University,Jessica Ngo,Introductory,Medicine,English,English,1–2 hours per week,8 Weeks,50,"This course sets the foundation for SEMPER members’ disaster knowledge, which will be supplemented by in-person lectures as well as field exercises. All SEMPER members are required to complete this course. Non-SEMPER members interested in learning more about disaster medicine or any person wishing to deploy to a disaster is also welcomed to complete this course.Disaster Medicine Training is a self paced-course, featuring video lectures with questions and case scenarios following each module. You will take an overall pre-test before you start the course and a post-test after you complete all the modules. A score of 80% or higher on your post-test will earn you a Statement of Accomplishment.","Guest LecturersColin M. Bucks, MD – Clinical Assistant Professor, Stanford Department of Emergency Medicine, Co-Director of SEMPERDan Imler, MD – Clinical Assistant Professor, Stanford Department of Emergency Medicine, Pediatric Emergency MedicineRonak B. Patel, MD MPH – Clinical Assistant Professor, Stanford Department of Emergency MedicineJulie Racioppi, RN MSN – Clinician Nurse IV, Stanford Department of Emergency MedicineGina Suh, MD – Clinical Assistant Professor, Stanford Medicine Division of Infectious DiseaseKim Voronin, LCSW – Disaster Mental Health Clinician and Social Work Clinician, Stanford Department of Social Work and Case Management",https://www.edx.org/course/disaster-medicine-training
Nutrition and Health: Human Microbiome,"Learn how you can impact your health by balancing your gut health; how your microbiome together with your diet can improve normal gut function. A balanced microbiome and nutritional intake can avoid disorders like IBS, obesity and diabetes.",44079,Self-paced on your time,Wageningen University & Research,Clara Belzer,Introductory,Health & Safety,English,English,3–5 hours per week,6 Weeks,49,"Your body is not only made up of human cells, but also by trillions of bacteria, fungi and viruses. Together they make up the human microbiome and have a tremendous impact on your health. For example, what you eat and drink impacts the gut microbes of the human gut microbiome. In this course, you will learn how the human microbiome plays an important role in maintaining normal gut function, digesting certain nutrients, early life development, behavior and disorders like irritable bowel syndrome (IBS), obesity and diabetes. You will learn how to distinguish fact from fiction about the role of the gut microbiota in health and disease. Today, important research topics focused on nutrition, health and ageing lay within the study of microbiota composition, function and applicability. This course will help health care professionals gain a basic academic understanding of the human microbiome and the impact on human health. You'll discover the latest academic insights about food fibers, added bacteria, probiotics and microbiology. This knowledge can be applied by health care professionals in their daily practice because gut health is a hot topic, not only among researchers, but especially for health care professionals and consumers alike. Many patients with allergic issues struggle with gut health. Emerging research is connecting an imbalance of the microbiota in the gut microbiome to multiple disease states, including allergies. When finishing this course, you will know about the latest acdemic insights and how to apply them in your daily work.In this course you'll learn that the human microbiome plays an important role in maintaining normal gut function, digesting certain nutrients, early life development, behavior and, disorders like irritable bowel syndrome (IBS), obesity and diabetes. Discover the complexity in maintaining a balanced healthy life and learn: ","Module 1: The human microbiome
This module includes topics like: how to study the microbiome, microbiota for health and the human microbiome Module 2: Early life microbiota development
This module includes topics like: development of the microbiome, microbiome and health, life changing events, personal microbiota development Module 3: Microbiota and Ageing
This module includes topics like: healthy ageing, including centenarians, diet and longevity; and ageing related diseases such as immunescene Module 4: Microbiota diet and disease
Topics in this module include: nutrition, diet and genes and obesity Module 5: Microbial therapies and diagnostics
This module includes topics like: microbial therapies, personalized therapies and diagnostics. Module 6: Applicability and societal impact
This module includes topics like: applicability of the microbiome in medical therapy, pharmacy, nutritional companies, probiotic production and the food chain. We also go in to some examples of host microbiota interactions",https://www.edx.org/course/nutrition-and-health-human-microbiome
Customer Relationship Management,Learn to develop customer relationships through a deepened understanding of the concepts and best practices of CRM.,53085,Self-paced on your time,Indian Institute of Management Bangalore,Shainesh G,Intermediate,Business & Management,English,"English, हिन्दी",3–5 hours per week,6 Weeks,50,"Customer Relationship Management, also known as CRM, helps businesses successfully implement strategies, practices and technolgies aimed at winning and retaining customers profitably. The objective of this business and management course is to equip you with a sound foundation of CRM concepts and best practices so you can implement CRM practices successfully for long-term profitability.Businesses aim to win and keep customers. Their competitors also seek to do the same. Even the most successful firms, with excellent marketing programs for attracting customers, have trouble with customer retention.In this course, you will learn how to shift from a short-term customer transaction based mode of operation to a long-term relationship mode and understand the benefits of having strong customer relations.Topics covered include:","Week 1 : Introduction to CRM
Meaning and definition of CRM, benefits of CRM, why should businesses adopt CRM Week 2 : Building Customer Relationships
The why’s and how’s of building relationships with customers. Week 3 : Economics of CRM
Lifetime value of customer, Activity based costing for customer profitability analysis Week 4 : CRM Applications
Applications of CRM in different industries Week 5 : CRM in Business Markets
CRM practices in Business Markets Week 6 : CRM implementation
CRM implementation process, precautions related to CRM implementation.",https://www.edx.org/course/customer-relationship-management
Mechatronics Revolution: Fundamentals and Core Concepts,"In this course, students will learn to harness the power of microcontrollers, sensors, and actuators to build useful and interesting robotic devices.",11619,Self-paced on your time,The Georgia Institute of Technology,Jonathan Rogers,Introductory,Engineering,English,English,6–8 hours per week,16 Weeks,149,"The Mechatronics Revolution is upon us. Never before has it been easier to build robotic devices and computer-controlled machines. The confluence of low-cost embedded computers, sensors, and actuators has made experimentation and prototyping easier than ever. Course modules will explore the mechatronics design process, fundamentals of microcontrollers, embedded systems programming, actuator control, and sensor interfacing. Through several hands-on labs, students will solidify their knowledge of core mechatronics concepts and gain real-world experience building their own mechatronic systems. Upon successful completion of the course, students will be equipped with the fundamental knowledge they need to harness the Mechatronics Revolution. To complete the lab assignments in the course, students must purchase the mechatronics lab kit, TI-RSLK-Mechkit (available on Mouser.com for $119). Purchase of the kit or its components is required for all students on the Verified track. The kit provides all the materials needed to complete the lab assignments and build a small robot. Currently Mouser does not deliver to a few specific regions and countries such as Nigeria. Students who cannot purchase the kit from Mouser can purchase the parts included in the kit separately from other vendors as described here. Audit students who do not wish to complete the labs but want to follow the lectures may optionally purchase the TI MSP432 Launchpad development board for $19.99. This will allow students to practice microcontroller programming skills as demonstrated in the course videos.",Module 1: Overview of MicrocontrollersModule 2: Circuits and Electrical ComponentsModule 3: Microcontroller FundamentalsModule 4: Motors and ServosModule 5: Sensors and Microcontroller InterfacingModule 6: Building Mechatronic Systems,https://www.edx.org/course/mechatronics
Introduction to Networking,This is a self-paced course from NYU that provides an Introduction to Networking,16134,Self-paced on your time,New York University,Rafail Portnoy-Aspen Olmsted,Introductory,Computer Science,English,English,3–5 hours per week,7 Weeks,150,This is a self-paced course that provides an Introduction to NetworkingCourse topics include:By the end of this course students should be able to: ,Course Outline:,https://www.edx.org/course/introduction-to-networking
Introduction to Java Programming: Starting to code in Java,Learn to program with Java in an easy and interactive way!,325554,Self-paced on your time,Universidad Carlos III de Madrid,Carlos Delgado Kloos-Carmen Fernández Panadero-Iria Estévez-Ayres-Jorge Blasco,Introductory,Computer Science,English,"English, Español, Português, 中文",7–10 hours per week,5 Weeks,149,"In this introductory Java programming course, you will be introduced to powerful concepts such as functional abstraction, the object oriented programming (OOP) paradigm and Application Programming Interfaces (APIs). Examples and case studies will be provided so that you can implement simple programs on your own or collaborate with peers.Emphasis is put on immediate feedback and on having a fun experience. Programming knowledge is not only useful to be able to program today’s devices such as computers and smartphones. It also opens the door to computational thinking, i.e. the application of computing techniques to every-day processes.This edition is an improved version of the course released in April 2015.","1. From the Calculator to the Computer
The first section introduces basic programming concepts, such as values and expressions, as well as making decisions when implementing algorithms and developing programs. 2. State Transformation
The second section introduces state transformation including representation of data and programs as well as conditional repetition. 3. Functional Abstraction
The third section addresses the organization of code in a program through methods, which are invoked to carry out a task and return a result as answer. Recursion, as a powerful mechanism in the invocation of methods, is also covered this week. 4. Object Encapsulation
The fourth section introduces the object oriented programming (OOP) paradigm, which enables the modeling of complex programs in Java through objects and classes. The concept of inheritance as the basis for reusing code and simplifying programs in Java is studied in this week. 5. Packaging
The last section aims to study the reuse of code through third-party classes that are already developed and that we can incorporate to our programs to perform specific actions, and reduce the number of lines that we need to code.",https://www.edx.org/course/introduction-to-java-programming-starting-to-code
Java Programming Fundamentals,"Your career as a program developer starts here. Gain entry-level programing skills in Java language, and prepare yourself to handle any task that is required in any programming job.",12042,Self-paced on your time,Universidad Galileo,Jorge Vargas-Victor Orozco,Intermediate,Engineering,English,English,8–10 hours per week,5 Weeks,49,"Java is one of the most in-demand programming languages today. This course is designed to provide students the basic skills and knowledge on Java. Learn how to solve programming problems using functions, for loops, conditional statements, recursive algorithms, and learn about the Object-Oriented Paradigm (OPP).",Lesson 01 - Java OverviewLesson 02 – JavaLesson 03 UsefulLesson 04 Functional and ConcurrencesLesson 05 Exchange Information,https://www.edx.org/course/java-programming-fundamentals
Statistical Thinking for Data Science and Analytics,Learn how statistics plays a central role in the data science approach.,198861,Self-paced on your time,Columbia University,Andrew Gelman-David Madigan-Lauren Hannah-Eva Ascarza,Introductory,Computer Science,English,English,7–10 hours per week,5 Weeks,99,"This statistics and data analysis course will pave the statistical foundation for our discussion on data science.You will learn how data scientists exercise statistical thinking in designing data collection, derive insights from visualizing data, obtain supporting evidence for data-based decisions and construct models for predicting future trends from data.",Week 1 – Introduction to Data ScienceWeek 2 – Statistical ThinkingWeek 3 – Statistical Thinking 2Week 4 – Exploratory Data Analysis and VisualizationWeek 5 – Introduction to Bayesian Modeling,https://www.edx.org/course/statistical-thinking-for-data-science-and-analytic
International Law,"Learn about the Law of the International Community, including how International Law is created, applied and upheld in today's world.",91868,Self-paced on your time,Université catholique de Louvain,Pierre d’Argent,Advanced,Law,English,English,6–8 hours per week,12 Weeks,150,"International law can be considered as the law of the international community, the law that governs relations between States. But it also relates to what international organizations do and, increasingly, it concerns individuals, corporations, NGO's and other non-state actors.As the world becomes more interdependent and more complex, and as new institutions are put in place to make international law more effective, international law has become an exciting, expanding field. Never before has it been so relied upon, used and developed. Despite their differences in size, power, culture, religion and ideologies, states rely on international law to cooperate and to coexist; they speak the language of international law and international law serves them as an important common language.This law course will extensively rely on judgments and advisory opinions of the International Court of Justice (ICJ), which is the principal judicial organ of the United Nations (UN).Having acquired a basic knowledge of international law, you'll find it easier to comprehend this subject in future international law sub-fields, like international human rights, international humanitarian law or international investment law.This course will teach you what international law is, the role it plays in the world today, how it can be used. You will also gain knowledge to help you better discern legal arguments within the flow of international news and reports.This course is part of the International Law MicroMasters Program that is designed to give learners a critical understanding of how international relations between States and individuals are dealt with, regarding the law.","1. Introducing International Law
1.1. What is International law
1.2. A brief history
1.3. International law as a common language 2. Setting the International Law Stage
2.1. States
2.2. International Organizations
2.3. United Nations 3. Making International Law (part 1)
3.1. Introduction: the theory of sources
3.2. The problem of International Law-making
3.3. Customary International Law 4. Making International Law (part 2)
4.1. International Treaties
4.2. The Validity of Treaties
4.3. General Principles
4.4. Unilateral Acts
4.5. Soft-Law 5. Applying International Law
5.1. Binding force of International Law
5.2. Interpreting International Law
5.3. Conflicting obligations
5.4. Applying International Law, including in domestic law 6. Claiming responsibility
6.1. The Notion of Responsibility and the Concept of Internationally Wrongful Act
6.2. Attribution of Internationally Wrongful Act
6.3. Responsibility and New Obligations
6.4. Invoking Responsibility
6.5. Countermeasures 7. Seeking Justice
7.1. Pacific Settlement of Disputes
7.2. Arbitration
7.3. The International Court of Justice (Jurisdiction)
7.4. The International Court of Justice (Procedure)
7.5. The International Criminal Court
7.6. International Immunities before Domestic Courts 8. Upholding Peace
8.1. The Outlawry of War
8.2. Self-Defence
8.3. Collective Security
8.4. The Use of Force and the United Nations",https://www.edx.org/course/international-law
Solar Energy,Discover the power of solar energy and learn how to design a complete photovoltaic system.,125069,Self-paced on your time,Delft University of Technology,Arno Smets,Introductory,Engineering,English,English,6–8 hours per week,8 Weeks,50,"In the third edition of Solar Energy, you will learn to design a complete photovoltaic system. This course introduces the technology that converts solar energy into electricity, heat and solar fuels with a main focus on electricity generation. Photovoltaic (PV) devices are presented as advanced semiconductor devices that deliver electricity directly from sunlight. The emphasis is on understanding the working principle of a solar cell, fabrication of solar cells, PV module construction and the design of a PV system. You will gain a greater understanding of the principles of the photovoltaic conversion— the conversion of light into electricity. This course explores the advantages, limitations and challenges of different solar cell technologies, such as crystalline silicon solar cell technology, thin film solar cell technologies and the latest novel solar cell concepts as studied on lab-scale. We will discuss the specifications of solar modules and demonstrate how to design a complete solar system for any particular application.Education MethodThe class will consist of a collection of eight to twelve minute lecture videos, exercises, assignments and exams. Specified assignments and the three exams will determine the final grade. The new textbook on “Solar Energy, basics, technology and systems” from the Delft University of Technology will be available for the students on-line and free of charge. Your course staff will encourage and challenge you to learn from, and interact with, your fellow students by helping each other and sharing ideas and best practices, in the course forum. We were happy to see the incredible number of interesting student videos on solar energy systems from all over the world in the previous edition of this course.Professor Smets was the first ever recipient of the edX Prize for Exceptional Contributions to Online Teaching and Learning. His previous online courses attracted over 150,000 students worldwide, who were inspired to take their first steps in the transition to renewable energy.","Week 1
Introduction to Solar Energy
(Assignment 1) Week 2
Working Principle of a Semiconductor based Solar Cell
(Assignment 2) Week 3
Solar Cell Operation, Performance and Design Rules
(Exam 1) Week 4
PV technology Based on Crystalline Silicon Wafers
(Assignment 3) Week 5
Thin-Film PV technologies
(Assignment 4) Week 6
Third Generation PV and Other Ways to Utilize Solar Energy
(Exam 2) Week 7
PV Systems-Components and Concepts
(Assignment 5) Week 8
PV Systems- Application and Design
(Exam 3)",https://www.edx.org/course/solar-energy-3
